"Index","X (mm)","Y (mm)","Arc Angle (Neg = CW)"
"0","58","50","-90.000"
"1","50","58",""
"2","50","58",""
"3","50","70.56",""
"4","50","70.56","-90.000"
"5","58","78.56",""
"6","58","78.56",""
"7","102","78.56",""
"8","102","50",""
